video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
C9BLrhkd1SM,complete,7,317.1,100.0,7.8,64.0,2637.0,2435.6,296
C9dlrotogFk,complete,7,420.5,100.0,4.7,34.0,2637.0,2437.9,392
CAYUWLm6BPE,complete,7,209.4,100.0,3.7,15.0,2637.0,2437.4,196
CDeT8LRUx6Y,complete,7,338.4,100.0,6.7,47.0,2637.0,2435.0,316
CFP7JAc0an0,complete,7,231.3,100.0,4.8,39.0,2637.0,2436.1,219
CFkglDsHK7E,complete,7,315.9,100.0,5.6,47.0,2637.0,2438.0,294
CGO4CeaZehE,complete,7,213.9,100.0,7.7,54.0,2649.0,2435.2,202
CJZRyFNcohE,complete,7,255.6,93.0,7.3,49.0,2637.0,2436.8,242
CNcDtqb8hZQ,complete,7,355.0,100.0,5.7,50.0,2637.0,2437.5,331
CPZ0xq9Yj7g,complete,7,205.6,100.0,2.5,16.0,2637.0,2437.2,192
CPlz3_V7vgA,complete,7,249.3,100.0,3.6,23.0,3212.0,2443.1,232
CQ5ReDiLt0I,complete,7,181.5,59.0,1.8,5.0,2637.0,2442.0,172
CRM13i0dEQo,complete,7,353.6,100.0,3.8,23.0,2844.0,2438.5,331
CRnovMraGng,complete,7,551.8,100.0,5.2,46.0,2637.0,2437.7,510
CTCqE8OeDW4,complete,7,298.8,100.0,2.6,13.0,2637.0,2440.2,272
CTWW23FgzaA,complete,7,265.0,100.0,7.2,52.0,2637.0,2437.4,250
CVXheqjto0I,complete,5,296.5,100.0,3.6,29.0,2842.0,2436.4,314
CWcZoP2kN_0,complete,7,289.8,100.0,5.9,49.0,2637.0,2434.6,275
CXIouUEXJMI,complete,7,244.4,100.0,5.3,46.0,2840.0,2436.3,230
CZdmur2vtYs,complete,7,506.2,100.0,4.4,44.0,2844.0,2442.0,423
C_RWRjq2deM,complete,7,450.0,100.0,4.4,19.0,2637.0,2437.1,417
CamBm-_lnCg,complete,7,273.0,100.0,7.0,52.0,2637.0,2437.3,257
CcFa-ofjvjE,complete,7,314.8,100.0,7.3,62.0,2844.0,2437.3,292
CdR4xR4dIeg,complete,7,392.7,100.0,4.9,47.0,2637.0,2437.3,369
Cdw6MdVWZdQ,complete,7,261.9,100.0,1.6,5.0,2844.0,2440.1,238
CfjsbjGtNOY,complete,7,523.1,100.0,5.0,40.0,2637.0,2437.0,481
Chs20U6biQs,complete,0,144.7,100.0,1.6,0.0,2637.0,2439.8,168
Ci6fClAR0Fo,complete,7,216.7,100.0,4.7,41.0,3045.0,2437.5,203
Ck-JXl4W4BM,complete,7,555.1,100.0,4.8,32.0,2637.0,2436.4,515
ClhRAI1YTNU,complete,7,185.5,100.0,7.7,46.0,2637.0,2436.4,176
Clmbo_Z1CWs,complete,7,160.5,59.0,2.2,14.0,2637.0,2439.4,153
CmaqmqBEIC0,complete,7,470.4,100.0,3.4,28.0,2637.0,2439.9,427
CoSpR_jteIM,complete,7,215.8,100.0,2.3,2.0,2637.0,2439.4,199
CpwPaGgmhtc,complete,7,329.3,100.0,6.4,49.0,2844.0,2436.4,307
Cqjks5fALio,complete,7,638.9,100.0,7.1,67.0,3401.0,1725.7,501
CqoVwvIJrzQ,complete,7,432.7,100.0,5.1,43.0,2649.0,2438.1,403
Ctb06Kk-YD4,complete,7,212.9,100.0,4.6,21.0,2637.0,2436.2,199
Cv0COcPKL5A,complete,7,266.2,100.0,4.3,33.0,2637.0,2437.0,242
CvpyNuoAOeM,complete,7,187.3,100.0,4.6,35.0,2844.0,2437.1,176
Cw-_tY2_b7k,complete,7,216.3,100.0,4.3,30.0,2637.0,2438.1,204
CzIlqHvsRIk,complete,7,229.4,100.0,6.2,62.0,2724.0,2438.3,215
CzpEW5dPmbQ,complete,7,311.9,100.0,5.9,49.0,2844.0,2437.0,293
CztEPocsYLQ,complete,7,533.9,100.0,4.0,41.0,2844.0,2439.2,487
D-eKSmrEaoQ,complete,7,217.7,100.0,4.7,40.0,3220.0,2444.1,203
D0tiRsitbjM,complete,7,174.9,92.0,4.4,33.0,3250.0,2448.3,166
D2DA8bpcwKo,complete,7,422.9,100.0,4.5,41.0,2637.0,2434.3,394
D2hfV9P2Oi4,complete,7,445.9,100.0,4.2,38.0,2637.0,2434.3,415
D2vCs--B3n8,complete,7,221.9,100.0,4.4,17.0,2637.0,2437.5,208
D65rElPR0cs,complete,7,218.4,100.0,3.2,17.0,2842.0,2438.2,205
D843il_3s4M,complete,7,476.5,100.0,5.0,46.0,2637.0,2438.5,441
D8Zm1uCb504,complete,7,276.4,100.0,4.3,38.0,2637.0,2433.1,263
D96aT2H3waI,complete,7,307.5,100.0,6.8,49.0,2637.0,2432.9,289
D9Hx20QY85s,complete,4,257.2,100.0,3.3,18.0,2844.0,2441.6,294
DA58iYc6I2U,complete,7,457.7,100.0,4.8,36.0,3051.0,2435.0,423
DBpgyj_06AU,complete,7,238.6,100.0,5.0,38.0,3212.0,2453.0,224
DDUkBb_flu0,complete,7,225.5,100.0,3.3,29.0,2637.0,2437.8,211
DDVk0gpCbHE,complete,7,454.8,100.0,5.8,47.0,2844.0,2436.3,421
DEuTXQj5WuE,complete,7,209.0,100.0,8.1,52.0,2637.0,2436.4,199
DF8jM6pjuQ8,complete,7,382.5,100.0,6.3,49.0,2842.0,2435.1,359
DFVGwpBmWuw,complete,7,231.4,100.0,6.4,54.0,2637.0,2435.8,215
DFzLDjBXVf0,complete,7,418.3,100.0,5.4,49.0,2637.0,2435.3,389
DHeIpUNMo0k,complete,7,246.3,100.0,7.2,54.0,2842.0,2435.3,232
DLPmi48O51s,complete,3,89.1,59.0,1.1,0.0,2842.0,2439.0,193
DLmRQn3kfRQ,complete,7,626.6,100.0,5.2,49.0,2650.0,2433.3,578
DNdkWbayZ4Y,complete,6,228.0,100.0,4.5,44.0,2844.0,2442.4,326
DNrzYFMnKmg,complete,7,310.0,100.0,5.1,37.0,2840.0,2435.6,292
DPuli_MA_og,complete,7,255.1,100.0,7.1,50.0,2637.0,2437.3,239
DQGK5qdR09s,complete,7,194.7,100.0,4.3,39.0,2844.0,2438.6,184
DQRFJtO0sDM,complete,7,272.2,100.0,3.3,16.0,2842.0,2436.6,255
DUGVWNZigbE,complete,7,388.8,100.0,3.6,19.0,2637.0,2437.8,357
DUhBBrN8XxU,complete,4,462.4,100.0,2.4,8.0,3282.0,2438.6,497
DUv3pbyKRIE,complete,7,212.4,100.0,4.8,40.0,2637.0,2436.2,201
DWM8sMXoOb4,complete,7,475.5,100.0,3.5,16.0,2637.0,2437.2,440
DZZ5s2GW3-4,complete,7,322.4,100.0,6.1,49.0,2637.0,2435.0,301
DZoOsb7aBi4,complete,7,580.3,100.0,4.8,38.0,2649.0,2433.9,526
