feature,component,spearman_vs_residual,spearman_vs_target
scene_classification__fraction_high_confidence_frames__min,scene_classification,0.0213,-0.0231
core_optical_flow__cam_affine_rotation__mean,core_optical_flow,-0.0212,-0.0132
cut_detection__event_end_time_s__p90,cut_detection,-0.0212,-0.0548
cut_detection__hard_cut_strength_p75,cut_detection,-0.0205,0.0321
core_clip__scene_luxury_scores__p90,core_clip,0.0205,-0.0132
cut_detection__event_start_time_s__mean,cut_detection,-0.0202,-0.0623
cut_detection__soft_flow_mag__mean,cut_detection,0.02,0.102
cut_detection__flow_mag__mean,cut_detection,0.02,0.102
cut_detection__motion_flow_mag__mean,cut_detection,0.02,0.102
scene_classification__fraction_high_confidence_frames__mean,scene_classification,0.0199,-0.0856
uniqueness__repeat_threshold_used,uniqueness,-0.0198,-0.0468
cut_detection__event_pair_index__std,cut_detection,0.0194,-0.0065
cut_detection__threshold_flow__std,cut_detection,0.0193,0.0163
scene_classification__top1_vs_top2_gap_mean__mean,scene_classification,0.0193,-0.0799
scene_classification__frame_entropy__mean,scene_classification,0.019,0.0681
cut_detection__soft_hist_diff_l1__max,cut_detection,-0.019,-0.0261
scene_classification__frame_topk_probs__mean,scene_classification,-0.0188,-0.0624
scene_classification__scene_change_score__p90,scene_classification,0.0187,-0.0036
cut_detection__event_start_time_s__max,cut_detection,-0.0184,-0.0584
core_optical_flow__flow_dx_mean_per_sec_norm__std,core_optical_flow,0.0184,0.089
core_optical_flow__preview_prev_times_s__p90,core_optical_flow,-0.0183,-0.0671
core_optical_flow__preview_prev_times_s__std,core_optical_flow,-0.0183,-0.0672
core_optical_flow__flow_dir_dispersion__std,core_optical_flow,0.0183,0.0706
cut_detection__event_end_time_s__std,cut_detection,-0.0182,-0.0537
core_optical_flow__cam_affine_scale__std,core_optical_flow,-0.0182,-0.0038
core_optical_flow__preview_cur_times_s__std,core_optical_flow,-0.0182,-0.067
core_optical_flow__preview_prev_times_s__max,core_optical_flow,-0.0182,-0.0671
core_optical_flow__flow_dx_mean_per_sec_norm__max,core_optical_flow,0.0181,0.0638
core_depth_midas__times_s__p50,core_depth_midas,-0.0181,-0.0672
core_clip__times_s__p50,core_clip,-0.0181,-0.0672
core_optical_flow__times_s__p50,core_optical_flow,-0.0181,-0.0672
core_optical_flow__preview_cur_times_s__p90,core_optical_flow,-0.0181,-0.067
core_depth_midas__times_s__p90,core_depth_midas,-0.0181,-0.0671
core_optical_flow__times_s__p90,core_optical_flow,-0.0181,-0.0671
core_clip__times_s__p90,core_clip,-0.0181,-0.0671
core_optical_flow__preview_cur_times_s__p50,core_optical_flow,-0.0181,-0.0671
core_depth_midas__depth_complexity_score__min,core_depth_midas,0.018,0.0318
core_optical_flow__preview_cur_times_s__mean,core_optical_flow,-0.018,-0.067
core_optical_flow__preview_prev_times_s__mean,core_optical_flow,-0.018,-0.067
core_depth_midas__preview_times_s__std,core_depth_midas,-0.018,-0.0671
core_optical_flow__times_s__mean,core_optical_flow,-0.018,-0.067
core_depth_midas__times_s__mean,core_depth_midas,-0.018,-0.067
core_clip__times_s__mean,core_clip,-0.018,-0.067
core_optical_flow__times_s__std,core_optical_flow,-0.018,-0.067
core_depth_midas__times_s__std,core_depth_midas,-0.018,-0.067
core_clip__times_s__std,core_clip,-0.018,-0.067
core_depth_midas__preview_times_s__p90,core_depth_midas,-0.0179,-0.0674
core_depth_midas__preview_times_s__mean,core_depth_midas,-0.0179,-0.0669
scene_classification__end_time_s__p90,scene_classification,-0.0179,-0.0673
core_optical_flow__preview_prev_times_s__p50,core_optical_flow,-0.0179,-0.0668
core_optical_flow__dt_seconds__p50,core_optical_flow,-0.0179,-0.058
core_depth_midas__preview_times_s__p50,core_depth_midas,-0.0178,-0.0668
core_optical_flow__times_s__max,core_optical_flow,-0.0178,-0.0669
core_clip__times_s__max,core_clip,-0.0178,-0.0669
core_depth_midas__times_s__max,core_depth_midas,-0.0178,-0.0669
core_optical_flow__preview_cur_times_s__max,core_optical_flow,-0.0178,-0.0669
core_depth_midas__preview_times_s__max,core_depth_midas,-0.0178,-0.0669
core_optical_flow__cam_affine_scale__max,core_optical_flow,-0.0176,-0.0175
core_depth_midas__preview_depth_maps__std,core_depth_midas,-0.0175,-0.044
scene_classification__start_time_s__mean,scene_classification,-0.0175,-0.0553
