video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
-jdMxlDMKf8,complete,8,214.8,100.0,2.6,4.0,2891.0,2618.3,203
-k2l-WmETXE,complete,8,180.8,47.0,2.0,17.0,3262.0,2577.3,170
-kEb_4XKveA,complete,8,358.5,100.0,1.9,6.0,2891.0,2572.4,335
-kdFJopjS_g,complete,7,204.2,100.0,5.2,49.0,2844.0,2439.5,193
-kzwS6fFWy8,complete,8,358.6,99.0,3.3,20.0,3262.0,2669.4,338
-l4TnuEXQ8s,complete,8,349.0,100.0,3.4,18.0,3262.0,2655.6,329
-lh8BrWhWwE,complete,8,231.8,40.0,1.2,5.0,3262.0,2638.9,219
-qvftMupYJA,complete,8,279.6,93.0,2.0,7.0,3633.0,2664.0,261
-rpj5acpLKw,complete,8,211.7,100.0,2.3,6.0,4004.0,2627.7,195
-sttFwxZPSo,complete,8,235.3,30.0,0.7,4.0,3262.0,2663.5,220
-t1WA7trelE,complete,8,241.3,25.0,1.2,7.0,3262.0,2625.4,226
-tIL1T5l_2g,complete,7,167.4,59.0,2.3,19.0,2637.0,2439.1,159
-thtfK5M6iQ,complete,8,239.5,55.0,1.6,7.0,3262.0,2631.6,225
-u-devGZao0,complete,8,446.8,100.0,3.1,11.0,3058.0,2587.5,418
-wPo7JowOLk,complete,8,207.3,100.0,1.7,4.0,3633.0,2572.3,196
-we93SKsG8M,complete,8,387.5,100.0,2.0,10.0,3633.0,2653.0,362
-xQoLhhSquo,complete,8,339.2,55.0,1.6,5.0,2891.0,2629.6,319
-z4lSj-YhKs,complete,8,245.0,99.0,3.2,12.0,3262.0,2546.2,231
00RlGST0Ff4,complete,8,403.9,100.0,2.2,8.0,3262.0,2630.2,381
00qaoE0f7A4,complete,8,225.1,100.0,2.1,2.0,3196.0,2561.7,212
00sKG5-YxQE,complete,8,387.2,100.0,2.3,7.0,3262.0,2629.1,360
01I9321tRt4,complete,8,375.7,83.0,1.9,9.0,3262.0,2612.4,352
02IXwHr2m3Y,complete,8,241.1,100.0,1.3,3.0,3262.0,2615.9,227
02k8vRi5f_I,complete,8,413.6,100.0,3.3,20.0,3262.0,2622.2,387
02wjT-r-pZo,complete,8,361.9,100.0,2.0,8.0,3262.0,2609.1,341
03H10CkU5ZU,complete,8,207.8,100.0,2.4,8.0,3567.0,2564.6,196
04_4Bvo_pc8,complete,8,185.5,58.0,0.6,2.0,3262.0,2605.1,175
0588rgW8C1I,complete,8,311.4,100.0,2.2,6.0,3633.0,2679.2,294
05deYJMn-c8,complete,8,451.7,100.0,2.5,11.0,3262.0,2656.9,424
07D7us_BVOI,complete,8,194.1,69.0,1.4,4.0,3262.0,2566.9,184
07DxM0oGCcA,complete,8,231.9,98.0,1.3,4.0,3262.0,2683.8,218
08Est7Hr1y8,complete,4,333.6,100.0,4.9,43.0,2685.0,2482.4,316
08iyuAvvBNM,complete,8,369.1,100.0,2.3,8.0,3262.0,2638.4,347
0CEoGe5F-E8,complete,8,326.7,100.0,8.4,52.0,3203.0,2526.8,294
0CNnfqNXcgo,complete,8,213.9,89.0,1.2,2.0,2891.0,2566.6,202
0Fr90M6EAxM,complete,8,428.5,100.0,2.0,10.0,3262.0,2609.4,402
0GYT0WA7xZA,complete,8,386.9,69.0,2.0,7.0,3633.0,2643.3,363
0HMjTxKRbaI,complete,8,403.2,100.0,1.9,4.0,2891.0,2592.0,378
0OAcp3YzwsI,complete,8,344.2,100.0,1.6,7.0,2891.0,2561.0,321
0PuU2EX4Gl4,complete,8,210.0,100.0,11.3,70.0,2944.0,2501.5,195
0RPjp-iPwMM,complete,8,230.9,77.0,1.8,4.0,3078.0,2600.9,217
0ST9B9h26No,complete,8,282.8,100.0,1.8,5.0,3262.0,2592.7,267
0Uy1t5gvZtM,complete,8,253.3,100.0,1.2,4.0,3262.0,2589.0,238
0WXuzh00FkY,complete,8,374.3,100.0,3.1,15.0,4004.0,2672.5,348
0X1trN5lpzM,complete,8,204.8,100.0,1.4,2.0,2891.0,2587.0,194
0XIOjxj7idg,complete,8,331.8,100.0,2.6,13.0,3262.0,2643.1,311
0XXf7v9a9CI,complete,8,451.6,100.0,2.5,11.0,3262.0,2653.0,423
0XYGBaCjVEI,complete,8,360.4,100.0,2.0,5.0,3262.0,2601.9,338
0XiIl2etCLE,complete,8,215.9,100.0,3.1,16.0,2944.0,2468.7,208
0XtnytVqLis,complete,8,183.9,100.0,2.4,5.0,3262.0,2592.1,173
0Y9fLzIJDPg,complete,8,188.3,69.0,0.8,2.0,3573.0,2603.4,178
0_fO2P3OT8M,complete,8,368.8,100.0,3.5,19.0,3262.0,2629.6,346
0bEARiNcAbI,complete,8,360.1,100.0,2.9,11.0,3262.0,2641.5,338
0bE_AAQUyc8,complete,8,222.9,55.0,1.5,6.0,3262.0,2674.0,210
0bQtsryTIRU,complete,8,314.2,100.0,2.7,6.0,2891.0,2617.7,295
0bTIkfbpmQY,complete,8,405.6,99.0,2.3,11.0,3262.0,2657.6,381
0ca60TrvcS8,complete,8,233.5,36.0,1.5,4.0,3262.0,2635.7,220
0d2cGxvgu1g,complete,8,209.4,0.0,0.0,0.0,2891.0,2533.0,197
0df0TNo6OhM,complete,8,375.9,100.0,3.9,16.0,2891.0,2648.8,353
0eqnKQL_SNU,complete,8,214.6,100.0,2.4,7.0,3262.0,2580.1,203
0fFoBxfChcM,complete,8,329.6,100.0,1.8,6.0,2891.0,2537.4,310
0gZz7lRKudI,complete,8,358.9,99.0,2.4,11.0,3262.0,2675.1,337
0msz5pepdpU,complete,8,305.2,100.0,1.9,5.0,3633.0,2637.1,288
0n47msSQllA,complete,10,352.1,100.0,6.7,46.0,2944.0,2498.7,327
0nZTxW_BQ8I,complete,8,332.6,100.0,3.6,11.0,2891.0,2656.9,313
0o-n-cGCSiw,complete,8,242.6,83.0,2.3,13.0,2891.0,2571.1,229
0oRDBB6jzqg,complete,8,339.7,83.0,1.9,5.0,3262.0,2632.4,320
0qUdwhysEC8,complete,8,403.7,100.0,1.0,4.0,3633.0,2569.1,371
0s9tdW5IJqA,complete,8,193.4,39.0,0.9,3.0,3262.0,2618.4,182
0sSIGip0d0A,complete,8,300.2,94.0,1.9,6.0,3262.0,2595.4,282
0tJ8Sq3rphs,complete,8,499.7,100.0,2.5,11.0,2891.0,2633.3,469
0tKx76T7jUs,complete,8,190.8,100.0,1.6,6.0,3262.0,2602.0,180
0tqu3WxyvyQ,complete,8,326.4,69.0,1.1,4.0,3573.0,2609.0,307
0vUdZSsjYjs,complete,8,387.9,100.0,3.1,14.0,4004.0,2666.3,360
0vcsbWDTMgc,complete,8,328.5,100.0,1.8,3.0,2891.0,2559.4,308
0w8kmm4sfxA,complete,8,434.7,100.0,3.2,11.0,2891.0,2558.6,406
11IlwAisytw,complete,8,290.5,100.0,4.4,22.0,2794.0,2500.5,266
12nOQvkg8pg,complete,8,195.7,100.0,2.0,8.0,2891.0,2577.8,184
13OFRLVNRSI,complete,8,186.6,33.0,0.4,0.0,2891.0,2558.8,177
13a8nlGnqMg,complete,8,390.5,100.0,2.4,4.0,3262.0,2630.9,369
13pz52piBj0,complete,8,331.0,2.0,0.1,0.0,2891.0,2553.0,284
152TaRDJK4Y,complete,8,368.3,100.0,2.7,11.0,3262.0,2660.2,347
15kHmaNg0Q0,complete,8,396.9,100.0,2.0,8.0,3262.0,2627.7,374
16ZSlAvqHwI,complete,8,234.3,42.0,0.6,2.0,3262.0,2586.0,219
1747hHTc5Vk,complete,8,387.8,100.0,2.8,11.0,2891.0,2635.3,365
17Q-XUBmN4w,complete,8,316.0,100.0,8.1,49.0,2944.0,2509.5,286
19STGsPShVE,complete,8,190.0,62.0,1.7,11.0,2891.0,2596.9,179
19oAhqUr2YI,complete,8,311.0,100.0,2.9,6.0,2891.0,2635.3,292
1A13RqYrUxk,complete,8,212.9,100.0,1.4,3.0,2891.0,2587.2,201
1AIyE-YLwDA,complete,8,244.8,83.0,2.1,4.0,3262.0,2624.7,231
1Bguvx-s8Rc,complete,8,212.4,100.0,2.8,11.0,2891.0,2551.4,201
1DBYSwsXurA,complete,8,373.9,100.0,3.0,14.0,4004.0,2672.3,348
1FY0v0UAOmo,complete,8,402.8,87.0,2.2,11.0,3262.0,2610.2,379
1GJa-j4zTgo,complete,8,313.5,100.0,1.3,3.0,3262.0,2601.7,295
1Gk5UGjtnMU,complete,8,462.6,100.0,2.8,9.0,3262.0,2616.8,434
1HMbcoVE4ss,complete,8,418.9,100.0,1.2,2.0,2891.0,2551.8,391
1LHR5pgDBQU,complete,8,396.9,95.0,2.8,11.0,3262.0,2633.9,372
1LlZ6Y_IRMU,complete,8,420.8,100.0,1.4,5.0,3262.0,2607.2,394
1MxqvJIcwiY,complete,8,462.0,100.0,6.2,49.0,2944.0,2505.7,419
1N4y8-Atv4U,complete,8,384.0,55.0,1.7,6.0,3262.0,2617.6,361
1O5alMKzqFQ,complete,8,821.1,2.0,1.0,2.0,3462.0,3462.0,6
