a,b,spearman
scene_classification__times_s__max,scene_classification__times_s__p90,1.0
scene_classification__times_s__max,scene_classification__times_s__std,1.0
scene_classification__times_s__mean,scene_classification__times_s__p50,1.0
scene_classification__times_s__mean,scene_classification__times_s__p90,1.0
scene_classification__times_s__mean,scene_classification__times_s__std,1.0
scene_classification__times_s__p50,scene_classification__times_s__p90,1.0
scene_classification__times_s__p50,scene_classification__times_s__std,1.0
scene_classification__times_s__p90,scene_classification__times_s__std,1.0
uniqueness__diversity_score,uniqueness__pairwise_sim_mean,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__times_s__p90,1.0
cut_detection__times_s__p50,cut_detection__times_s__std,1.0
cut_detection__times_s__p90,cut_detection__times_s__std,1.0
cut_detection__union_timestamps_sec__max,cut_detection__union_timestamps_sec__mean,1.0
cut_detection__union_timestamps_sec__max,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__union_timestamps_sec__max,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__union_timestamps_sec__max,cut_detection__union_timestamps_sec__std,1.0
cut_detection__union_timestamps_sec__mean,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__union_timestamps_sec__mean,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__union_timestamps_sec__mean,cut_detection__union_timestamps_sec__std,1.0
cut_detection__union_timestamps_sec__p50,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__union_timestamps_sec__p50,cut_detection__union_timestamps_sec__std,1.0
cut_detection__union_timestamps_sec__p90,cut_detection__union_timestamps_sec__std,1.0
scene_classification__end_time_s__max,scene_classification__times_s__max,1.0
scene_classification__end_time_s__max,scene_classification__times_s__mean,1.0
scene_classification__end_time_s__max,scene_classification__times_s__p50,1.0
scene_classification__end_time_s__max,scene_classification__times_s__p90,1.0
core_optical_flow__preview_cur_times_s__max,core_optical_flow__preview_cur_times_s__p90,0.9999
core_optical_flow__motion_norm_per_sec_mean__p90,cut_detection__flow_mag__p90,0.9999
core_optical_flow__motion_norm_per_sec_mean__p90,cut_detection__motion_flow_mag__p90,0.9999
core_optical_flow__motion_norm_per_sec_mean__p90,cut_detection__soft_flow_mag__p90,0.9999
core_optical_flow__preview_prev_times_s__p90,core_optical_flow__times_s__p90,0.9999
core_optical_flow__preview_prev_times_s__p90,core_optical_flow__times_s__p50,0.9999
core_optical_flow__preview_prev_times_s__p90,core_optical_flow__times_s__std,0.9999
core_optical_flow__preview_cur_times_s__max,core_optical_flow__preview_prev_times_s__p90,0.9999
core_optical_flow__preview_prev_times_s__p90,core_optical_flow__times_s__mean,0.9999
core_optical_flow__preview_prev_times_s__p90,core_optical_flow__times_s__max,0.9999
core_optical_flow__preview_cur_times_s__mean,core_optical_flow__preview_cur_times_s__p90,0.9999
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__times_s__p90,0.9999
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__times_s__std,0.9999
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__preview_prev_times_s__p50,0.9999
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__times_s__max,0.9999
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__times_s__mean,0.9999
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__preview_prev_times_s__max,0.9999
cut_detection__cut_interval_cv,cut_detection__cut_rhythm_uniformity_score,0.9999
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__times_s__p50,0.9999
