feature,component,spearman_vs_residual,spearman_vs_target
cut_detection__soft_lab_l__max,cut_detection,0.023,-0.0294
cut_detection__threshold_ssim__std,cut_detection,-0.0229,-0.0036
core_clip__places365_topk_scores__std,core_clip,-0.0228,0.0079
core_clip__scene_luxury_scores__std,core_clip,-0.0225,-0.0751
core_clip__consecutive_cosine_prev__p90,core_clip,0.0224,-0.0512
core_clip__scene_luxury_scores__max,core_clip,0.0222,-0.0073
cut_detection__motion_cam_valid_mask__mean,cut_detection,0.0221,0.0326
scene_classification__frame_topk_ids__min,scene_classification,-0.022,-0.0753
core_optical_flow__flow_dx_mean_per_sec_norm__min,core_optical_flow,0.0217,-0.0664
cut_detection__hard_score__max,cut_detection,0.0217,0.0148
core_clip__cut_detection_transition_scores__std,core_clip,-0.0216,-0.0894
core_optical_flow__flow_div_abs_mean__p90,core_optical_flow,0.0214,0.0586
core_optical_flow__cam_affine_scale__p50,core_optical_flow,0.0213,-0.0072
scene_classification__start_frame__max,scene_classification,0.0211,-0.0316
scene_classification__label_stability__std,scene_classification,-0.0211,-0.0577
core_optical_flow__flow_dx_mean_per_sec_norm__std,core_optical_flow,-0.021,0.0671
cut_detection__hist_diff_l1__min,cut_detection,-0.021,-0.0024
core_clip__places365_video_topk_scores__min,core_clip,0.0204,-0.0364
scene_classification__scene_change_score__min,scene_classification,0.0203,0.0464
cut_detection__event_type_id__p90,cut_detection,-0.0203,-0.0
scene_classification__end_frame__min,scene_classification,-0.0202,-0.0107
video_pacing__motion_speed_90perc,video_pacing,-0.0201,0.1055
cut_detection__soft_hsv_v__p90,cut_detection,0.0199,-0.0363
core_optical_flow__cam_affine_rotation__p50,core_optical_flow,0.0196,0.0137
cut_detection__event_strength__std,cut_detection,-0.0196,-0.069
scene_classification__start_frame__std,scene_classification,0.0196,-0.0373
core_optical_flow__motion_norm_per_sec_mean__std,core_optical_flow,-0.0195,0.072
core_clip__popularity_topic_scores__max,core_clip,0.0195,0.0271
core_clip__frame_embeddings__p90,core_clip,-0.0195,0.0178
core_optical_flow__cam_affine_scale__mean,core_optical_flow,0.0192,-0.0131
core_optical_flow__flow_mag_std_per_sec_norm__min,core_optical_flow,-0.0192,0.0664
video_pacing__brightness_change_rate,video_pacing,-0.0191,0.1244
scene_classification__frame_top1_prob__std,scene_classification,-0.019,-0.0467
core_clip__places365_video_topk_scores__max,core_clip,0.0188,-0.0485
uniqueness__n_frames,uniqueness,0.0188,0.021
core_optical_flow__dt_seconds__p50,core_optical_flow,-0.0187,-0.0737
core_optical_flow__cam_shake_std_norm__min,core_optical_flow,-0.0187,0.0507
video_pacing__scene_embedding_jumps,video_pacing,-0.0184,-0.0278
cut_detection__edit_style_fast_prob,cut_detection,0.0182,0.0014
uniqueness__repeat_threshold_raw,uniqueness,0.0182,-0.0122
video_pacing__frame_embedding_diff_std,video_pacing,0.0181,0.119
